userId	country	email	last_login	sex	age_group	age
232	CH	CH000231	2026-06-06T23:20:16Z	NA	NA	NA
233	CH	CH000232	2026-05-09T21:36:52Z	NA	NA	NA
234	CH	CH000233	2026-05-07T21:16:57Z	NA	NA	NA
235	CH	CH000234	2026-06-01T20:23:55Z	NA	NA	NA
236	CH	CH000235	2026-06-07T07:49:26Z	NA	NA	NA
237	CH	CH000236	2026-06-03T23:41:47Z	NA	NA	NA
238	CH	CH000237	2026-06-07T08:21:00Z	NA	NA	NA
239	CH	CH000238	2026-06-05T22:47:24Z	NA	NA	NA
240	CH	CH000239	2026-05-26T05:42:40Z	NA	NA	NA
241	CH	CH000240	2026-06-07T09:15:20Z	NA	NA	NA
242	GR	GR000241	2026-06-05T16:55:37Z	NA	NA	NA
243	IT	IT000242	2026-06-07T08:35:41Z	NA	NA	NA
244	IT	IT000243	2026-06-06T22:36:38Z	NA	NA	NA
245	CH	CH000244	2026-06-06T21:21:53Z	NA	NA	NA
246	IT	IT000245	2026-05-27T06:08:58Z	NA	NA	NA
247	IT	IT000246	2026-06-05T16:57:39Z	NA	NA	NA
248	IT	IT000247	2026-06-07T08:14:06Z	NA	NA	NA
249	IT	IT000248	2026-06-05T21:47:45Z	NA	NA	NA
250	CH	CH000249	2026-06-01T08:05:00Z	NA	NA	NA
252	IT	IT000251	2026-05-20T16:56:55Z	NA	NA	NA
253	CH	CH000252	2026-06-06T23:19:12Z	NA	NA	NA
254	IT	IT000253	2026-06-05T20:48:25Z	NA	NA	NA
255	CH	CH000254	2026-06-06T06:11:20Z	NA	NA	NA
256	CH	CH000255	2026-06-06T14:53:59Z	NA	NA	NA
257	CH	CH000256	2026-06-06T07:29:15Z	NA	NA	NA
258	CH	CH000257	2026-06-06T05:42:28Z	NA	NA	NA
259	CH	CH000258	2026-06-07T09:31:03Z	NA	NA	NA
260	CH	CH000259	2026-06-05T09:36:52Z	NA	NA	NA
