date,posEHF,Euroheat,t2m_daily_mean,utci_daily_mean
2025-08-22,False,False,16.0,15.6
2025-08-23,False,False,14.7,14.0
2025-08-24,False,False,15.4,16.1
2025-08-25,False,False,16.8,18.0
2025-08-26,False,False,19.2,19.9
2025-08-27,False,False,21.2,22.0
2025-08-28,False,False,17.4,17.7
2025-08-29,False,False,16.7,16.9
2025-08-30,False,False,16.0,14.6
2025-08-31,False,False,17.2,17.9
2025-09-01,False,False,16.7,16.9
2025-09-02,False,False,15.6,15.6
2025-09-03,False,False,17.5,16.0
2025-09-04,False,False,18.8,19.1
2025-09-05,False,False,14.0,12.3
2025-09-06,False,False,14.9,15.0
2025-09-07,False,False,16.2,15.9
2025-09-08,False,False,16.3,17.9
2025-09-09,False,False,15.4,15.4
2025-09-10,False,False,12.7,12.5
2025-09-11,False,False,14.6,11.5
2025-09-12,False,False,14.4,12.6
2025-09-13,False,False,15.5,16.0
2025-09-14,False,False,14.7,11.6
2025-09-15,False,False,18.9,14.7
2025-09-16,False,False,14.2,7.6
2025-09-17,False,False,13.7,11.0
2025-09-18,False,False,16.7,16.1
2025-09-19,False,False,17.7,17.2
2025-09-20,False,False,20.2,20.3
2025-09-21,True,True,18.8,18.4
2025-09-22,False,False,11.5,5.7
2025-09-23,False,False,10.5,3.9
2025-09-24,False,False,9.8,3.9
2025-09-25,False,False,10.3,9.6
2025-09-26,False,False,11.0,8.5
2025-09-27,False,False,11.9,12.1
2025-09-28,False,False,11.9,12.7
2025-09-29,False,False,11.9,12.4
2025-09-30,False,False,10.5,10.9
2025-10-01,False,False,8.7,6.1
2025-10-02,False,False,7.4,3.7
2025-10-03,False,False,7.9,5.2
2025-10-04,False,False,11.9,3.1
2025-10-05,False,False,8.3,-3.0
2025-10-06,False,False,8.3,-0.4
2025-10-07,False,False,10.3,8.1
2025-10-08,False,False,11.1,12.1
2025-10-09,False,False,11.6,11.3
2025-10-10,False,False,10.2,11.2
2025-10-11,False,False,11.3,12.7
2025-10-12,False,False,11.3,12.1
2025-10-13,False,False,10.4,9.5
2025-10-14,False,False,9.8,9.8
2025-10-15,False,False,9.2,8.6
2025-10-16,False,False,8.7,9.4
2025-10-17,False,False,8.5,8.8
2025-10-18,False,False,7.9,5.7
2025-10-19,False,False,7.6,4.8
2025-10-20,False,False,9.8,9.0
2025-10-21,False,False,11.9,7.8
2025-10-22,False,False,11.8,8.3
2025-10-23,False,False,10.7,0.4
2025-10-24,False,False,6.9,-6.2
2025-10-25,False,False,7.5,-4.4
2025-10-26,False,False,6.8,-5.4
2025-10-27,False,False,5.8,-11.1
2025-10-28,False,False,8.9,-2.9
2025-10-29,False,False,9.9,7.8
2025-10-30,False,False,9.6,3.2
2025-10-31,False,False,7.7,6.6
2025-11-01,False,False,10.6,9.5
