date,posEHF,Euroheat,t2m_daily_mean,utci_daily_mean
2025-09-07,False,False,22.3,23.7
2025-09-08,False,False,22.5,24.0
2025-09-09,False,False,22.1,24.7
2025-09-10,False,False,20.5,21.6
2025-09-11,False,False,22.1,22.6
2025-09-12,False,False,21.7,22.6
2025-09-13,False,False,21.8,22.6
2025-09-14,False,False,21.4,21.2
2025-09-15,False,False,22.3,23.7
2025-09-16,False,False,23.1,23.8
2025-09-17,False,False,20.5,20.7
2025-09-18,False,False,21.8,22.9
2025-09-19,False,False,22.5,24.6
2025-09-20,False,False,23.2,25.1
2025-09-21,False,False,23.5,25.2
2025-09-22,False,False,21.9,20.2
2025-09-23,False,False,20.5,22.1
2025-09-24,False,False,18.2,19.0
2025-09-25,False,False,16.4,17.8
2025-09-26,False,False,17.0,18.1
2025-09-27,False,False,16.0,16.9
2025-09-28,False,False,16.3,15.6
2025-09-29,False,False,17.0,17.9
2025-09-30,False,False,16.7,17.6
2025-10-01,False,False,15.0,12.1
2025-10-02,False,False,13.4,11.6
2025-10-03,False,False,12.4,12.4
2025-10-04,False,False,14.4,13.7
2025-10-05,False,False,12.4,10.0
2025-10-06,False,False,12.5,11.9
2025-10-07,False,False,14.0,13.7
2025-10-08,False,False,15.2,16.1
2025-10-09,False,False,15.9,17.2
2025-10-10,False,False,16.1,17.8
2025-10-11,False,False,16.2,17.7
2025-10-12,False,False,15.8,16.7
2025-10-13,False,False,15.9,17.2
2025-10-14,False,False,16.1,16.6
2025-10-15,False,False,15.3,14.8
2025-10-16,False,False,13.5,13.6
2025-10-17,False,False,13.1,13.8
2025-10-18,False,False,13.6,13.6
2025-10-19,False,False,12.6,12.6
2025-10-20,False,False,13.2,12.8
2025-10-21,False,False,13.3,12.9
2025-10-22,False,False,13.8,14.7
2025-10-23,False,False,16.3,12.8
2025-10-24,False,False,15.4,10.7
2025-10-25,False,False,15.1,14.3
2025-10-26,False,False,14.0,13.9
2025-10-27,False,False,12.2,11.6
2025-10-28,False,False,12.3,12.2
2025-10-29,False,False,14.0,13.5
2025-10-30,False,False,14.2,12.6
2025-10-31,False,False,14.3,14.8
2025-11-01,False,False,15.4,16.6
2025-11-02,False,False,16.1,14.4
2025-11-03,False,False,13.4,13.1
2025-11-04,False,False,10.8,11.7
